timestep,time_elapsed,ego_velocity,target_speed,distance_to_lead,lead_speed
0,0.0,2.1262418058440803e-07,20,100.0,1.2889234771224963e-08
1,0.1,1.9726377927472868e-07,20,100.0,6.511701743303558e-08
2,0.2,8.056746924031815e-08,20,100.0,5.990929559277696e-08
3,0.30000000000000004,8.936268246941928e-09,20,100.0,3.8501101737752394e-08
4,0.4,8.8696584422059e-08,20,100.0,3.113460272579951e-08
5,0.5,1.4174437894744672e-08,20,100.0,1.5455033176631872e-08
6,0.6000000000000001,1.1494242223300109e-07,20,100.0,1.0740519121122703e-07
7,0.7000000000000001,1.1599501124401734e-07,20,100.0,2.839983895001839e-09
8,0.8,9.882034347807186e-09,20,100.0,1.1400354017762177e-09
9,0.9,0.6159435958604766,20,99.97467041017373,2.9215914328449545e-09
10,1.0,1.33585044514349,20,99.86737060560661,5.810585123260605e-08
11,1.1,1.8213174121318672,20,99.70684814669009,4.5852804237610825e-08
12,1.2000000000000002,2.3823376583993237,20,99.49212647254446,3.2025299757368054e-08
13,1.3,2.959659345702965,20,99.2214965989618,7.578234985278461e-08
14,1.4000000000000001,3.553314307315634,20,98.89392093301038,0.0
15,1.5,4.221968203233164,20,98.50323492661886,6.075910853229665e-09
16,1.6,4.92673709529387,20,98.0493775494252,0.13547852805284347
17,1.7000000000000002,5.485447898988538,20,97.55773942062338,0.5327028634408751
18,1.8,5.452110213021201,20,97.08111596225824,0.7777539614040611
19,1.9000000000000001,5.7187535842773825,20,96.6164248784183,1.0192682525441812
20,2.0,5.856316397405273,20,96.15216107876489,1.3209656004700214
21,2.1,5.846362174467858,20,95.71981867039634,1.6577719278846708
22,2.2,5.8501628443568325,20,95.32305973731202,2.0744195540508494
23,2.3000000000000003,6.250849928078332,20,94.96106038235733,2.5415770777945053
24,2.4000000000000004,7.230178146634607,20,94.55792317603496,3.0244980467953817
25,2.5,8.028279510353164,20,94.11474705382305,3.5185293155729234
26,2.6,8.716653455588434,20,93.65527461400016,4.028351291216808
27,2.7,9.386035712197806,20,93.17886501522506,4.514283600291911
28,2.8000000000000003,9.98105816121763,20,92.68499940325383,4.96137736704074
29,2.9000000000000004,10.598630703333592,20,92.15558086931293,5.029568668685467
30,3.0,11.195747285053566,20,91.57040678779653,5.03480482853679
31,3.1,11.775667676326943,20,90.93298669737473,5.157777313772096
32,3.2,12.34663827382406,20,90.23016754864547,5.033450600973382
33,3.3000000000000003,12.915276530207851,20,89.48721789244601,5.255620386911098
34,3.4000000000000004,13.451237122449063,20,88.68527789665507,5.114693955634794
35,3.5,13.959070009541641,20,87.81690130593495,4.9641167791503955
36,3.6,14.442812065096462,20,86.90567820261967,5.045698212128255
37,3.7,14.905948011860218,20,85.94007298303401,5.012322342584925
38,3.8000000000000003,15.349433390807159,20,84.92573141559801,5.012513079658699
39,3.9000000000000004,15.767966690281442,20,83.86408784880105,4.911413170186612
40,4.0,16.163384726325567,20,82.74681103337477,4.728700417655291
41,4.1000000000000005,16.536908211235147,20,81.56920129914819,4.488797478939331
42,4.2,16.508038527474966,20,80.34883677644078,4.227733846996709
43,4.3,16.499526039954898,20,79.10308196351141,3.9583796499963144
44,4.4,16.49197288295073,20,77.83071619090744,3.685229813149413
45,4.5,16.960314897511406,20,76.51043828918901,3.4098145133638837
46,4.6000000000000005,17.446574623547477,20,75.11166980146851,3.1326864077361414
47,4.7,17.909425356248597,20,73.63798136868394,2.854242703453505
48,4.800000000000001,18.356450749878157,20,72.09138723878029,2.575235375305451
49,4.9,18.78961156751517,20,70.44548992544412,1.2891903024057743
50,5.0,19.20963260399183,20,68.56921725788835,0.0033985583827206263
51,5.1000000000000005,19.616998326598683,20,66.62614295262885,0.0026848016810797617
52,5.2,20.012139797501995,20,64.64440426905357,0.004425265147199794
53,5.300000000000001,20.39546519048556,20,62.62378777421705,0.0036618687256097177
54,5.4,20.767384586875757,20,60.564751453427164,0.0019868508924462077
55,5.5,21.128281365206078,20,58.46869936574187,0.0005093444441440038
56,5.6000000000000005,21.47850075719973,20,56.33657783775633,0.00032501265887713304
57,5.7,21.81840134575743,20,54.17003515683478,0.0
58,5.800000000000001,22.148311196475397,20,51.9699872591713,0.0
59,5.9,22.468543115938076,20,49.737594290991204,0.0
60,6.0,22.779394651942802,20,47.47358927865872,0.0
61,6.1000000000000005,23.08117098180397,20,45.17907155987709,0.0
62,6.2,23.3741486721301,20,42.854957561650934,0.0
63,6.300000000000001,23.658600475164178,20,40.501980817826016,0.0
64,6.4,23.93479532826713,20,38.12099723862995,0.0
65,6.5,24.202983095377704,20,35.712832615613515,0.0
66,6.6000000000000005,24.46341554746032,20,33.2783133381848,0.0
67,6.7,24.716327289778796,20,30.81811396453276,0.0
68,6.800000000000001,24.77206787994758,20,28.34118011268389,0.0
69,6.9,24.75779320083157,20,25.865491418405682,0.0
70,7.0,24.743283919819156,20,23.391269287814374,0.0
71,7.1000000000000005,24.98708040944288,20,20.908424696505314,0.0
72,7.2,25.332930050466206,20,18.389910468173273,0.0
73,7.300000000000001,25.643876958403048,20,15.838964173658523,0.0
74,7.4,25.937499337827667,20,13.25854474239979,0.0
75,7.5,26.210989558885174,20,10.650237136720484,0.0
76,7.6000000000000005,26.42960892383352,20,8.01795214266777,0.0
77,7.7,26.55061737216775,20,5.3705456416662525,0.0
78,7.800000000000001,9.870511987668735,20,0,16.57949866817
