condition, use min, ret, 99.99999796903526, ego_velocity, 4.061929453582731e-07, target_velocity, 20, dist_to_lead, 100.0, dist_to_cover, 96.0, dist_buffer, 1.0154823633956827e-06, velocity_to_gain, 19.999999593807054
condition, use min, ret, 99.9999990422238, ego_velocity, 1.9155523852942626e-07, target_velocity, 20, dist_to_lead, 100.0, dist_to_cover, 96.0, dist_buffer, 4.788880963235656e-07, velocity_to_gain, 19.999999808444763
condition, use min, ret, 99.99999928743513, ego_velocity, 1.4251297405002475e-07, target_velocity, 20, dist_to_lead, 100.0, dist_to_cover, 96.0, dist_buffer, 3.562824351250619e-07, velocity_to_gain, 19.999999857487026
condition, use min, ret, 99.99999888831148, ego_velocity, 2.2233770478767034e-07, target_velocity, 20, dist_to_lead, 100.0, dist_to_cover, 96.0, dist_buffer, 5.558442619691758e-07, velocity_to_gain, 19.999999777662296
condition, use min, ret, 99.99999950429454, ego_velocity, 9.914109381358496e-08, target_velocity, 20, dist_to_lead, 100.0, dist_to_cover, 96.0, dist_buffer, 2.4785273453396243e-07, velocity_to_gain, 19.999999900858906
condition, use min, ret, 99.99999973895642, ego_velocity, 5.220871725190641e-08, target_velocity, 20, dist_to_lead, 100.0, dist_to_cover, 96.0, dist_buffer, 1.3052179312976603e-07, velocity_to_gain, 19.999999947791284
condition, use min, ret, 100.0, ego_velocity, 0.0, target_velocity, 20, dist_to_lead, 100.0, dist_to_cover, 96.0, dist_buffer, 0.0, velocity_to_gain, 20.0
condition, use min, ret, 99.99999977213292, ego_velocity, 4.557341366692179e-08, target_velocity, 20, dist_to_lead, 100.0, dist_to_cover, 96.0, dist_buffer, 1.1393353416730448e-07, velocity_to_gain, 19.999999954426585
condition, use min, ret, 99.99999961430706, ego_velocity, 7.713858812979022e-08, target_velocity, 20, dist_to_lead, 100.0, dist_to_cover, 96.0, dist_buffer, 1.9284647032447555e-07, velocity_to_gain, 19.999999922861413
condition, use min, ret, 99.99999985730797, ego_velocity, 2.8538405064404796e-08, target_velocity, 20, dist_to_lead, 100.0, dist_to_cover, 96.0, dist_buffer, 7.134601266101199e-08, velocity_to_gain, 19.999999971461595
condition, use min, ret, 99.99999964913728, ego_velocity, 7.017254190678537e-08, target_velocity, 20, dist_to_lead, 100.0, dist_to_cover, 96.0, dist_buffer, 1.7543135476696342e-07, velocity_to_gain, 19.999999929827457
condition, use min, ret, 99.99999995931577, ego_velocity, 8.136844008405899e-09, target_velocity, 20, dist_to_lead, 100.0, dist_to_cover, 96.0, dist_buffer, 2.0342110021014748e-08, velocity_to_gain, 19.999999991863156
condition, use min, ret, 99.99999991767172, ego_velocity, 1.6465655825077674e-08, target_velocity, 20, dist_to_lead, 100.0, dist_to_cover, 96.0, dist_buffer, 4.116413956269418e-08, velocity_to_gain, 19.999999983534344
condition, use min, ret, 99.99999986389628, ego_velocity, 2.722074148714824e-08, target_velocity, 20, dist_to_lead, 100.0, dist_to_cover, 96.0, dist_buffer, 6.805185371787059e-08, velocity_to_gain, 19.999999972779257
