timestep,time_elapsed,ego_velocity,target_speed,distance_to_lead,lead_speed
0,0.0,7.795334161896348e-08,20,100.0,8.683488502107786e-08
1,0.1,8.031657299308766e-08,20,100.0,5.7829112085720605e-08
2,0.2,1.1459137160392961e-07,20,100.0,2.1136708016921832e-07
3,0.30000000000000004,3.109453669955793e-07,20,100.0,3.262654121071128e-08
4,0.4,5.634943476477813e-08,20,100.0,1.653019442870887e-07
5,0.5,1.7970171829784184e-07,20,100.0,1.104899446587664e-07
6,0.6000000000000001,1.1437891781871212e-08,20,100.0,3.1936931811442665e-08
7,0.7000000000000001,1.2080422209390362e-07,20,100.0,5.6639609608768205e-08
8,0.8,1.180629424674986e-08,20,100.0,4.2193157378837636e-08
9,0.9,4.792249491327373e-08,20,100.0,4.2704916405515135e-08
10,1.0,6.244879884063507e-08,20,100.0,3.270544974748672e-08
11,1.1,7.301844942006352e-08,20,100.0,5.762045839921e-09
12,1.2000000000000002,3.5093935623346513e-09,20,100.0,2.3039789802279533e-09
13,1.3,8.946735839898029e-08,20,100.0,4.7827561670489045e-08
14,1.4000000000000001,3.7758091141029985e-08,20,100.0,0.0005953671523353644
15,1.5,2.0333093551307268e-11,20,100.01867675781432,0.30777303596999284
16,1.6,6.9866422068655495e-09,20,100.0531921386815,0.4423774104166162
17,1.7000000000000002,3.236105777574653e-08,20,100.09918212913014,0.5069232759491602
18,1.8,3.7009017424414864e-08,20,100.15310668965719,0.5957153735321493
19,1.9000000000000001,7.051013672120811e-09,20,100.21597290088478,0.6381830913026462
20,2.0,1.8394006425224203,20,100.21328735427844,0.7632373769984933
21,2.1,3.6847093622057483,20,100.00079345703242,0.8183224776543933
22,2.2,4.679686869633307,20,99.66433716159348,0.9435946118439862
23,2.3000000000000003,5.315878810591307,20,99.26214601280671,1.0346484648597132
24,2.4000000000000004,5.483108041954733,20,98.83361820217321,1.1571539473873336
25,2.5,5.767633854501222,20,98.39538581320537,1.2716220916674983
26,2.6,6.149251182034039,20,97.93368542284759,1.3786553843564968
27,2.7,6.576949667460161,20,97.44134540255028,1.4787207474759652
28,2.8000000000000003,7.025474297149647,20,96.91436795326317,1.5683328560100385
29,2.9000000000000004,7.483262928424599,20,96.3502506368737,1.6470115245828318
30,3.0,7.943611466731964,20,95.74743706415678,1.7147633083882305
31,3.1,8.402024870251582,20,95.1049506748051,1.771776558847077
32,3.2,8.858936530144359,20,94.42190646910468,1.8220675724393423
33,3.3000000000000003,9.314882040670994,20,93.69790772358292,1.8626353622105936
34,3.4000000000000004,9.769919662227315,20,92.9317642603881,1.8905195933860248
35,3.5,10.225009738699763,20,92.12234693971486,1.9078367155725666
36,3.6,10.684447633012377,20,91.2685266193172,1.9155276514976776
37,3.7,11.147447515214083,20,90.36871639796455,1.9141172812723757
38,3.8000000000000003,11.591546468499432,20,89.42328250044096,1.9039846919248988
39,3.9000000000000004,12.020960700437,20,88.43292684260379,1.885465578097429
40,4.0,12.43826990785076,20,87.39746633038585,1.842970047984365
41,4.1000000000000005,12.847430898540203,20,86.31491734623346,1.7720083046489468
42,4.2,13.251959881114981,20,85.18344885217569,1.6744891348590685
43,4.3,13.653646907662818,20,83.98609312357672,0.9036886823735332
44,4.4,14.053259689017665,20,82.60981325396419,3.815091085942533e-05
45,4.5,14.451139641916114,20,81.18290501643757,0.0004989060790024086
46,4.6000000000000005,14.847443169419225,20,79.71635475796874,0.0003794330253269432
47,4.7,15.2422465654954,20,78.2101319933264,0.00019972436783943795
48,4.800000000000001,15.635583209140542,20,76.66423676343598,0.0
49,4.9,16.02747122062963,20,75.07909635895835,0.0
50,5.0,16.417923951053282,20,73.45489393725255,0.0
51,5.1000000000000005,16.806946169053674,20,71.79162954991013,0.0
52,5.2,17.194537874408088,20,70.08960844193358,0.0
53,5.300000000000001,17.580704789675604,20,68.34895275267151,0.0
54,5.4,17.965450729365983,20,66.56972360001674,0.0
55,5.5,18.348777600863304,20,64.75210418677503,0.0
56,5.6000000000000005,18.730687311787964,20,62.89621669026432,0.0
57,5.7,18.997919227878562,20,61.00584539668926,0.0
58,5.800000000000001,18.858121623869085,20,59.11059232827374,0.0
59,5.9,18.412811526668744,20,57.2479329305423,0.0
60,6.0,17.843736952599063,20,55.43764249976887,0.0
61,6.1000000000000005,17.238222331808906,20,53.686556931393525,0.0
62,6.2,16.635971173978575,20,51.996080010626045,0.0
63,6.300000000000001,16.054451046839837,20,50.36468585708907,0.0
64,6.4,15.500332933239086,20,48.78993307021596,0.0
65,6.5,14.975126509965808,20,47.26895300687233,0.0
66,6.6000000000000005,14.477804669615086,20,45.7989380732705,0.0
67,6.7,14.005980357763177,20,44.37738586229273,0.0
68,6.800000000000001,13.564357110662494,20,43.00136668042588,0.0
69,6.9,13.151933565772527,20,41.66782884375908,0.0
70,7.0,12.764736702807804,20,40.37402578173272,0.0
71,7.1000000000000005,12.39795617139518,20,39.117821332172234,0.0
72,7.2,12.04717167583449,20,37.897384464604464,0.0
73,7.300000000000001,11.70899289264289,20,36.71137246080471,0.0
74,7.4,11.385117335803699,20,35.55850361915912,0.0
75,7.5,11.076635061196363,20,34.4374961869691,0.0
76,7.6000000000000005,10.766135926180073,20,33.34755685210929,0.0
77,7.7,10.457724318504455,20,32.288685592250594,0.0
78,7.800000000000001,10.152886116181497,20,31.26304909783453,0.06869974609797658
79,7.9,9.852663705694384,20,30.266863271841963,0.06285850515635333
80,8.0,9.55769128857286,20,29.300006115495776,0.058843257445513775
81,8.1,9.268263551764957,20,28.36211142813734,0.05634472912932263
82,8.200000000000001,8.984532131035497,20,27.452690961696568,0.05528108810958725
83,8.3,8.706556154655269,20,26.571286984771522,0.055710819921907954
84,8.4,8.434304150913292,20,25.717594335380173,0.05806020264091895
85,8.5,8.16771031630613,20,24.891704621604937,0.07284680636866411
86,8.6,7.906746993649317,20,24.094869807638013,0.09555166740640877
87,8.700000000000001,7.6514141836297185,20,23.326264343405512,0.1226993796681302
88,8.8,7.401750509294095,20,22.588360516026416,0.14938189132281496
89,8.9,7.157871365749776,20,21.879511124721187,0.17768768118081799
90,9.0,6.919907407050578,20,21.20075244675684,0.2743914790818262
91,9.1,6.687989763235548,20,20.55049802581007,0.32110266240755897
92,9.200000000000001,6.4622447973187,20,19.92831985308799,0.33070731241009793
93,9.3,6.242785996055604,20,19.336171782470227,0.466770786105981
94,9.4,6.02972255595606,20,18.77155045579555,0.5193421703764696
95,9.5,5.822578114282751,20,18.23509907109575,0.5940420937870512
96,9.600000000000001,5.621689320419487,20,17.727852910839697,0.6527079406489897
97,9.700000000000001,5.428030831453841,20,17.250087878834396,0.7887979528756208
98,9.8,5.241535890381287,20,16.801435580305245,0.8757033449310938
99,9.9,5.062229292476433,20,16.38177019677879,0.9631037842233016
100,10.0,5.000058584529408,20,15.984750215314296,1.0870371339429519
101,10.100000000000001,4.950345769030755,20,15.602073190336402,1.187554149024782
102,10.200000000000001,4.852157060139736,20,15.238958075983057,1.3062674534145209
103,10.3,4.729696309874655,20,14.89824184625796,1.4102194057754234
104,10.4,4.6008826375578575,20,14.580016489900316,1.5049716001075855
105,10.5,4.472789945798755,20,14.283550024500405,1.5899032448322334
106,10.600000000000001,4.349134714704492,20,14.00765237631578,1.6639810367567154
107,10.700000000000001,4.232447050367508,20,13.750614554233003,1.7273223913541682
108,10.8,4.119920279828067,20,13.51069710495424,1.780078072762243
109,10.9,4.013059306408719,20,13.28655727688967,1.8225031518400223
110,11.0,3.9118731893555307,20,13.076394605347202,1.8548919238545356
111,11.100000000000001,3.8161678566971733,20,12.878866415822214,1.8775429781342177
112,11.200000000000001,3.7257187161645886,20,12.692446781865973,1.8907651593121633
113,11.3,3.6402847259749773,20,12.515487975070009,1.8948686258094507
114,11.4,3.559596235014078,20,12.346860881471326,1.8901658036850661
115,11.5,3.483381443930235,20,12.18513131225311,1.8769718638208481
116,11.600000000000001,3.4113320771117155,20,12.028834592378935,1.8531560591239065
117,11.700000000000001,3.343116731114519,20,11.876963721424554,1.8247464665066988
118,11.8,3.278394228568068,20,11.726193430355016,1.745304398855221
119,11.9,3.2167823826828,20,11.572283035443911,1.6394947165991673
120,12.0,3.157798871552042,20,11.322764591780963,0.0010993789432372054
121,12.100000000000001,3.0992345019831045,20,11.010528263300428,0.00040463840016859447
122,12.200000000000001,3.037786211730882,20,10.704642501644747,0.00045761727574803514
123,12.3,2.971645591419968,20,10.405046428109232,0.0002742082436770215
124,12.4,2.900589479513581,20,10.112045247108671,0.0
125,12.5,2.825001731374287,20,9.826432290180783,0.0
126,12.600000000000001,2.7454712429696597,20,9.548604125069701,0.0
127,12.700000000000001,2.662634117237016,20,9.27895745935311,0.0
128,12.8,2.5771107210545052,20,9.017736184102088,0.0
129,12.9,2.4894746905245078,20,8.765214791832513,0.0
130,13.0,2.4002433965859757,20,8.521545755498554,0.0
131,13.100000000000001,2.3098541004231707,20,8.286850899652086,0.0
132,13.200000000000001,2.218720458856888,20,8.061221550365712,0.0
133,13.3,2.127158854886246,20,7.8447489898807055,0.0
134,13.4,2.0348879534576763,20,7.637493950145984,0.0
135,13.5,1.9430408418675869,20,7.439517116124568,0.0
136,13.600000000000001,1.8531194435726026,20,7.250574110559667,0.0
137,13.700000000000001,1.7636295843349246,20,7.070573043244258,0.0
138,13.8,1.58772583377389,20,6.900397908812809,0.0
139,13.9,1.507543864518034,20,6.746513305766363,0.0
140,14.0,1.4326298906548847,20,6.6001964478491075,0.0
141,14.100000000000001,0.00015083821304810908,20,6.5539663908270285,0.0
142,14.200000000000001,0.11720357592768489,20,6.548111320665575,0.0
143,14.3,0.18268379376829127,20,6.534331851446774,0.0
144,14.4,0.2505756449434491,20,6.512716450870269,0.0
145,14.5,0.2708929996268153,20,6.486067040700274,0.0
146,14.600000000000001,0.33881595108487417,20,6.455568605945775,0.0
147,14.700000000000001,0.3919421175149149,20,6.4200434121655165,0.0
148,14.8,0.3986308843824367,20,6.38098212115437,0.0
149,14.9,0.4790960423389421,20,6.33591354827224,0.0
150,15.0,0.4787910282283715,20,6.2882530232537235,0.0
151,15.100000000000001,0.5005826089832489,20,6.236991519764763,0.0
152,15.200000000000001,0.5850244855545278,20,6.181617052980305,0.0
153,15.3,0.6064323477467055,20,6.123504011407182,0.0
154,15.4,0.6135677526039082,20,6.062065704024327,0.0
155,15.5,0.6516310741676214,20,6.001298911222615,0.061713259576257784
156,15.600000000000001,0.6793425883325703,20,5.9376055699213985,0.05712983694657389
157,15.700000000000001,0.6497902400393941,20,5.872816870642049,0.05417238273591838
158,15.8,0.7042175808305685,20,5.806932722997123,0.052623603548005986
159,15.9,0.7104965519142757,20,5.740684091542989,0.05245594300594823
160,16.0,0.6772227233862163,20,5.674680282313824,0.053793022793538016
161,16.1,0.7067977442063821,20,5.6086805950803456,0.05773042276013779
162,16.2,0.7071378565317785,20,5.544573896762798,0.07898999284131529
163,16.3,0.676992974090892,20,5.484095600573585,0.09588959202708168
164,16.400000000000002,0.6820291538747876,20,5.428869788689846,0.14188925609608632
165,16.5,0.68209688570463,20,5.378676531047598,0.15551044941865733
166,16.6,0.6660553313030556,20,5.335851242589479,0.24679373359163395
167,16.7,0.6093941096225273,20,5.298984675848144,0.2939210524026154
168,16.8,0.6229665117642181,20,5.269058245374559,0.37139877798164855
169,16.900000000000002,0.6308011555412053,20,5.246180178675128,0.38977932350463446
170,17.0,0.6125550225831611,20,5.230455697201184,0.45944302694229266
171,17.1,0.5936349771950789,20,5.223891949857528,0.5614337224081194
172,17.2,0.6091854297897482,20,5.226318054187975,0.6010620364139141
173,17.3,0.6103311414156843,20,5.236691762218129,0.7477785350041302
174,17.400000000000002,0.6004067447180695,20,5.25799141673851,0.8261078181930273
175,17.5,0.5880763808012102,20,5.290450320016792,0.902533398999821
176,17.6,0.5772668653557625,20,5.334815190132247,1.0107182188123385
177,17.7,0.5686656182292655,20,5.390955821283207,1.1510087762415016
178,17.8,0.5627224407999866,20,5.458846476604083,1.254559838777818
179,17.900000000000002,0.55976728302078,20,5.538071859372927,1.3432062447890598
180,18.0,0.5598750221199673,20,5.627572433374731,1.4444362711735792
181,18.1,0.5639378102364204,20,5.725916931496586,1.531769665925731
182,18.2,0.5710003571758262,20,5.832135628047498,1.6113738642315898
183,18.3,0.5596307703342405,20,5.946142635373017,1.6844022016423807
184,18.400000000000002,0.5604919468268437,20,6.067225534941238,1.751244750455188
185,18.5,0.5732271550734647,20,6.193406213345703,1.8056645869584784
186,18.6,0.5326161521493266,20,6.322492627214806,1.8460687495433497
187,18.7,0.5604670496115651,20,6.4533256179281695,1.8751720140491157
188,18.8,0.6142986428270818,20,6.5837362911719275,1.8941670779066606
189,18.900000000000002,0.6746678622701582,20,6.711251418103351,1.9036775135459245
190,19.0,0.7437222957712223,20,6.834321754463679,1.9041328130920103
191,19.1,0.7559736076234695,20,6.953066454181831,1.8958860540783806
192,19.200000000000003,0.8218601986273241,20,7.066897668381823,1.8792648103943437
193,19.3,0.8720449452044093,20,7.1731053926303465,1.843060554211106
194,19.400000000000002,0.9185592095385959,20,7.2691637796328825,1.7782206250911172
195,19.5,0.9635857714545696,20,7.353180056793334,1.6871708585216365
196,19.6,1.0026963477452255,20,7.389530018675348,0.48560309874004454
197,19.700000000000003,1.0678027381411304,20,7.292010305379962,0.000134657482413647
198,19.8,1.1203680632153161,20,7.186355402575106,0.000497470199072381
199,19.900000000000002,1.1664448534078289,20,7.075793328435545,0.00035017695737105277
200,20.0,1.2053803491419997,20,6.960874001144508,0.00017810949317441092
